Question;Answer
Abraham_Lincoln. Was Abraham Lincoln the sixteenth President of the United States?;yes
Abraham_Lincoln. Was Abraham Lincoln the sixteenth President of the United States?;Yes.
Abraham_Lincoln. Did Lincoln sign the National Banking Act of 1863?;yes
Abraham_Lincoln. Did Lincoln sign the National Banking Act of 1863?;Yes.
Abraham_Lincoln. Did his mother die of pneumonia?;no
Abraham_Lincoln. Did his mother die of pneumonia?;No.
Abraham_Lincoln. How many long was Lincoln's formal education?;18 months
Abraham_Lincoln. How many long was Lincoln's formal education?;18 months.
Abraham_Lincoln. When did Lincoln begin his political career?;1832
Abraham_Lincoln. When did Lincoln begin his political career?;1832.
Abraham_Lincoln. What did The Legal Tender Act of 1862 establish?;the United States Note, the first paper currency in United States history
Abraham_Lincoln. What did The Legal Tender Act of 1862 establish?;The United States Note, the first paper currency in United States history.
Abraham_Lincoln. Who suggested Lincoln grow a beard?;11-year-old Grace Bedell
Abraham_Lincoln. Who suggested Lincoln grow a beard?;Grace Bedell.
Abraham_Lincoln. When did the Gettysburg address argue that America was born?;1776
Abraham_Lincoln. When did the Gettysburg address argue that America was born?;1776.
Abraham_Lincoln. Did Lincoln beat John C. Breckinridge in the 1860 election?;yes
Abraham_Lincoln. Did Lincoln beat John C. Breckinridge in the 1860 election?;Yes.
Abraham_Lincoln. Was Abraham Lincoln the first President of the United States?;No
Abraham_Lincoln. Was Abraham Lincoln the first President of the United States?;No
Abraham_Lincoln. Did Lincoln start his political career in 1832?;Yes
Abraham_Lincoln. Did Lincoln start his political career in 1832?;Yes
Abraham_Lincoln. Did Lincoln ever represent Alton & Sangamon Railroad?;Yes
Abraham_Lincoln. Did Lincoln ever represent Alton & Sangamon Railroad?;Yes
Abraham_Lincoln. Which county was Lincoln born in?;Hardin County
Abraham_Lincoln. Which county was Lincoln born in?;Southeast Hardin County, Kentucky
Abraham_Lincoln. When did Lincoln first serve as President?;March 4, 1861
Abraham_Lincoln. When did Lincoln first serve as President?;March 4, 1861
Abraham_Lincoln. Who assassinated Lincoln?;John Wilkes Booth
Abraham_Lincoln. Who assassinated Lincoln?;John Wilkes Booth
Abraham_Lincoln. Did Lincoln win the election of 1860?;Yes
Abraham_Lincoln. Did Lincoln win the election of 1860?;Yes
Abraham_Lincoln. Who was the general in charge at the Battle of Antietam?;General McClellan
Abraham_Lincoln. Who was the general in charge at the Battle of Antietam?;John Alexander McClernand
Abraham_Lincoln. Why did Lincoln issue the Emancipation Proclamation?;To free slaves 
Abraham_Lincoln. Why did Lincoln issue the Emancipation Proclamation?;The goal was to weaken the rebellion, which was led and controlled by slave owners.
Abraham_Lincoln. Do scholars rank lincoln among the top three presidents?;NULL
Abraham_Lincoln. Do scholars rank lincoln among the top three presidents?;Yes
Abraham_Lincoln. Did lincoln have 18 months of schooling?;NULL
Abraham_Lincoln. Did lincoln have 18 months of schooling?;Yes
Abraham_Lincoln. Was Lincoln chosen as a presidential candidate in 1860?;NULL
Abraham_Lincoln. Was Lincoln chosen as a presidential candidate in 1860?;Yes
Abraham_Lincoln. How old was Lincoln in 1816?;NULL
Abraham_Lincoln. How old was Lincoln in 1816?;seven
Abraham_Lincoln. When was the first photgraph of lincoln taken?;NULL
Abraham_Lincoln. When was the first photgraph of lincoln taken?;1846
Abraham_Lincoln. How long was Lincoln's legal Career?;NULL
Abraham_Lincoln. How long was Lincoln's legal Career?;23 years
Abraham_Lincoln. What trail did Lincoln use a Farmers' Almanac in? ;NULL
Abraham_Lincoln. What trail did Lincoln use a Farmers' Almanac in? ;"he defended William ""Duff"" Armstrong"
Abraham_Lincoln. Did Abraham Lincoln live in the Frontier?;NULL
Abraham_Lincoln. Did Abraham Lincoln live in the Frontier?;Yes
Abraham_Lincoln. Did Lincoln's Wife's Family support slavery?;NULL
Abraham_Lincoln. Did Lincoln's Wife's Family support slavery?;Yes
Alessandro_Volta. Volta became professor of physics in the Como high school in what year?;NULL
Alessandro_Volta. What ac phaenomenis inde pendentibus?;NULL
Alessandro_Volta. What may be called Volta's Law of the electrochemical series?;NULL
Alessandro_Volta. Is it true that volta became professor of physics?;NULL
Alessandro_Volta. Is it true that volta entered retirement in spain?;NULL
Alessandro_Volta. When did he become professor?;NULL
Alessandro_Volta. What did Alessandro Volta publish in 1800?;NULL
Alessandro_Volta. Is Volta buried in the city of Como?;NULL
Alessandro_Volta. Is the electrolyte sulphuric acid?;NULL
Alessandro_Volta. ;NULL
Alessandro_Volta. ;NULL
Alessandro_Volta. ;NULL
Alessandro_Volta. NOTTTT  FOUND;NULL
Alessandro_Volta. ;NULL
Alessandro_Volta. ;NULL
Alessandro_Volta. Are Count Volta 's original instruments and papers on display there ?;NULL
Alessandro_Volta. Is Volta buried in the city of Como ?;NULL
Alessandro_Volta. Was his 1800 paper written in French ?;NULL
Alessandro_Volta. Are Count Volta 's original instruments and papers on display there ?;NULL
Alessandro_Volta. Did he not realize that the frog 's leg served as both a conductor of electricity -LRB- we would now call it an electrolyte -RRB- and as a detector of electricity ?;NULL
Alessandro_Volta. Does this not make the zinc rod the negative electrode and the copper rod the positive electrode ?;NULL
Alessandro_Volta. What happened with $ its invention?;NULL
Alessandro_Volta. HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?;NULL
Alessandro_Volta. What happened in 1800?;NULL
Amedeo_Avogadro. What was an Italian savant?;NULL
Amedeo_Avogadro. What was an Italian savant?;NULL
